satellite,year,c0,c1,c2
F10,1992,-2.057,1.5903,-0.009
F10,1993,-1.0582,1.5983,-0.0093
F10,1994,-0.3458,1.4864,-0.0079
F12,1994,-0.689,1.177,-0.0025
F12,1995,-0.0515,1.2293,-0.0038
F12,1996,-0.0959,1.2727,-0.004
F12,1997,-0.3321,1.1782,-0.0026
F12,1998,-0.0608,1.0648,-0.0013
F12,1999,0,1,0
F14,1997,-1.1323,1.7696,-0.0122
F14,1998,-0.1917,1.6321,-0.0101
F14,1999,-0.1557,1.5055,-0.0078
F14,2000,1.0988,1.3155,-0.0053
F14,2001,0.1943,1.3219,-0.0051
F14,2002,1.0517,1.1905,-0.0036
F14,2003,0.739,1.2416,-0.004
F15,2000,0.1254,1.0452,-0.001
F15,2001,-0.7024,1.1081,-0.0012
F15,2002,0.0491,0.9568,0.001
F15,2003,0.2217,1.5122,-0.008
F15,2004,0.5751,1.3335,-0.0051
F15,2005,0.6367,1.2838,-0.0041
F15,2006,0.8261,1.279,-0.0041
F15,2007,1.3606,1.2974,-0.0045
F16,2004,0.2853,1.1955,-0.0034
F16,2005,-0.0001,1.4159,-0.0063
F16,2006,0.1065,1.1371,-0.0016
F16,2007,0.6394,0.9114,0.0014
F16,2008,0.5564,0.9931,0
F16,2009,0.9492,1.0683,-0.0016
F18,2010,2.343,0.5102,0.0065
F18,2011,1.8956,0.7345,0.003
F18,2012,1.875,0.6203,0.0052